recipient,purpose,term,amount
American Institutes for Research in the Behavioral Sciences,To conduct research on teachers' pensions in an effort to identify ways to improve fiscal sustainability of state pension systems.,2016 - 2019,"$190,000"
American Institutes for Research in the Behavioral Sciences,To conduct a study focused on improving student performance.,2013,"$2,587"
American Society for Cell Biology,To support a working group of scientists and policymakers aimed at improving the National Institutes of Health.,2016 - 2017,"$77,183"
American Society for Public Administration,To fund an analysis of federal credit programs and identify ways to make them more efficient and effective.,2016 - 2017,"$270,550"
"American Society of Crime Laboratory Directors, Inc.",To develop forensic lab performance tracking freeware that will help to ensure that labs operate efficiently and effectively.,2016 - 2018,"$331,138"
American Society of Transplant Surgeons,To fund a randomized controlled trial evaluating whether reimbursement of lost wages to living kidney donors results in an increased number of living kidney donor applications.,2016 - 2019,"$958,500"
"Amida Technology Solutions, LLC","To facilitate the development of a free, open-source platform that will link disease registries for patients with cancer and Alzheimer's disease.",2016 - 2017,"$300,000"
Arizona State University,To evaluate a tool for reducing repeat incidents of domestic violence.,2013 - 2022,"$575,502"
Arizona State University Foundation for a New American University,To support a convening of college and university presidents focused on accelerating innovation in higher education.,2017,"$36,179"
Arizona State University Foundation for a New American University,To evaluate the impact of certain policing reforms implemented pursuant to litigation settlements.,2015 - 2017,"$105,462"
Arizona State University Foundation for a New American University,To conduct research on police body-worn cameras.,2015 - 2017,"$497,575"
Arizona State University Foundation for a New American University,To conduct research on police body-worn cameras.,2017 - 2018,"$27,138"
Aspiration,To support the Collaborative Knowledge Foundation.,2017 - 2019,"$1,850,000"
Association for Competitive Technology,To fund a U.S. Department of Education fellowship to support educators in using classroom technology.,2016 - 2017,"$156,031"
Association of Missouri Charter Schools,To help families in the state of Missouri make informed educational choices.,2012 - 2014,"$200,000"
"Association of Prosecuting Attorneys, Inc.",To help establish the Major County Prosecutors Council.,2014 - 2017,"$560,812"
"Association of Prosecuting Attorneys, Inc.",To develop investigation and prosecution protocols for the use of force by law enforcement.,2016 - 2017,"$249,061"
"Association of Prosecuting Attorneys, Inc.",To develop and disseminate information about evidence-based prosecutorial practices.,2017 - 2019,"$150,000"
Austin Community Foundation,To improve K-12 public education.,2013,"$25,000"
Bard College,To fund a low-cost randomized controlled trial of a music education intervention for economically disadvantaged elementary school students.,2017 - 2024,"$224,720"
"Behavioral Ideas Lab, Inc.","To design, implement, and test a set of behavioral interventions in emergency departments to improve outcomes for patients with opioid use disorder.",2018 - 2019,"$489,230"
"Behavioral Ideas Lab, Inc.",To provide consultation on the design and implementation of the Public Safety Assessment.,2013 - 2014,"$225,250"
"Behavioral Ideas Lab, Inc.",To design a cognitive behavioral therapy curriculum to help reduce crime and violence.,2013 - 2014,"$399,993"
"Behavioral Ideas Lab, Inc.",To help advise jurisdictions on best practices for the use of the Public Safety Assessment.,2016 - 2017,"$55,000"
"Behavioral Ideas Lab, Inc.",To support evidence-based policymaking within the federal government.,2014 - 2015,"$1,055,811"
"Behavioral Ideas Lab, Inc.",To support evidence-based policymaking within city governments.,2015 - 2018,"$986,120"
"Behavioral Ideas Lab, Inc.","To leverage insights from behavioral science to ensure that federal, state, and local policies are based on rigorous research.",2016 - 2018,"$2,291,117"
"Behavioral Ideas Lab, Inc.","To support the execution of demonstration projects, scaling of successful interventions, and institutionalization of evidence-based decision-making and behavioral science in New York City government.",2018 - 2020,"$500,852"
"Bellwether Education Partners, Inc.","To train education entrepreneurs in Denver, Colorado.",2017 - 2018,"$300,000"
"Bellwether Education Partners, Inc.",To educate policymakers and the general public about issues affecting teacher pensions.,2018 - 2019,"$371,871"
"Bellwether Education Partners, Inc.",To provide information about teachers' pension systems.,2013 - 2015,"$743,700"
"Bellwether Education Partners, Inc.",To provide information about teachers' pension systems.,2015 - 2018,"$805,787"
"Better Future Forward, Inc.",To support four pilot projects that will help determine the viability of income share agreements for student aid in higher education.,2018 - 2019,"$348,100"
"Bioethics International, Inc.",To help expand the Good Pharma Scorecard.,2015 - 2019,"$3,555,977"
"Bipartisan Policy Center, Inc.",To educate stakeholders about implementing recommendations from the Commission on Evidence-Based Policymaking.,2017 - 2018,"$349,979"
"Bipartisan Policy Center, Inc.",To produce informational materials that will guide the evaluation of programs designed to prevent disease and promote a healthy lifestyle.,2014 - 2015,"$288,470"
"Bipartisan Policy Center, Inc.",To conduct a comprehensive review of how federal and state funding is being allocated to address the opioid epidemic.,2018 - 2019,"$255,042"
"Bipartisan Policy Center, Inc.",To develop bipartisan policy recommendations to improve institutional responsibility for student outcomes.,2017 - 2019,"$313,529"
"Bipartisan Policy Center, Inc.",To fund an evaluation of fiscal and economic policies and programs.,2014 - 2015,"$500,000"
"Bipartisan Policy Center, Inc.","To support the placement of a higher education research fellow with the United States Senate Committee on Health, Education, Labor, and Pensions.",2018 - 2019,"$181,576"
"Bipartisan Policy Center, Inc.",To support research on retirement security and disability insurance policies and programs.,2015 - 2016,"$500,000"
"Bipartisan Policy Center, Inc.",To identify and disseminate best practices for incorporating evidence-based policymaking into the federal budgeting process.,2016 - 2018,"$559,500"
"Bipartisan Policy Center, Inc.",To educate stakeholders about implementing recommendations from the Commission on Evidence-Based Policymaking.,2017 - 2018,"$349,979"
"Black Alliance for Educational Options, Inc.",To provide general operating support.,2012 - 2015,"$3,000,000"
"Black Alliance for Educational Options, Inc.","To promote high-quality school options in New Orleans, Louisiana.",2012,"$300,000"
"Black Alliance for Educational Options, Inc.",To provide general operating support.,2012 - 2015,"$800,000"
Blue School Partners,To provide general operating support.,2017 - 2018,"$200,000"
BMJ Publishing Group Limited,To produce a report that analyzes the scientific research used to inform the Dietary Guidelines Advisory Committee recommendations.,2015,"$4,000"
Board of Regents Nevada System of Higher Education,To evaluate the feasibility and effectiveness of the Mobile Recovery Outreach Team intervention in improving outcomes for opioid overdose survivors treated in emergency rooms in Nevada.,2018 - 2019,"$220,000"
"Bottom Line, Inc.",To fund a low-cost randomized controlled trial of a program to promote college enrollment and completion for disadvantaged students.,2015 - 2021,"$60,000"
Bowling Green State University,To develop statistical models that can be used to reduce the backlog of untested sexual assault kits across the United States.,2016 - 2018,"$394,587"
"Brigham & Women's Hospital, Inc.",To support the planning process related to the creation of a clinical trial data-sharing platform.,2015 - 2017,"$500,000"
"Brigham & Women's Hospital, Inc.",To support the testing of various notification mechanisms intended to increase flu vaccination rates among Medicare recipients.,2014 - 2017,"$134,337"
"Brigham & Women's Hospital, Inc.",To analyze the current state of reproducibility of large healthcare database studies.,2017 - 2019,"$2,015,560"
"Brigham & Women's Hospital, Inc.","To support the Program On Regulation, Therapeutics, and Law, which will evaluate the impact of drug innovation incentive policies.",2016 - 2017,"$742,905"
"Brigham & Women's Hospital, Inc.","To support the Program On Regulation, Therapeutics, And Law Biomarker Research Consortium.",2016 - 2020,"$2,024,093"
"Brigham & Women's Hospital, Inc.",To evaluate the impact of Pharmacy Benefits Managers on prescription drug pricing.,2017 - 2018,"$77,315"
"Brigham & Women's Hospital, Inc.","To support the Program On Regulation, Therapeutics, And Law.",2017 - 2020,"$3,268,850"
Brookings Institution,To support Evidence Speaks.,2017 - 2018,"$200,000"
Brookings Institution,"To analyze data and assess the state of student loan accountability, develop evidence-based policy solutions, and disseminate the findings.",2018 - 2019,"$116,717"
Brookings Institution,To fund the Tax Policy Center.,2014 - 2016,"$1,004,491"
Brookings Institution,To expand access to research about public sector retirement systems.,2014 - 2017,"$1,145,551"
Brookings Institution,"To evaluate the prevalence, drivers, and policy implications of surprise medical billing.",2018 - 2020,"$1,321,496"
Brookings Institution,To support a series of weekly reports about education and social policy research.,2015 - 2017,"$324,000"
Brookings Institution,To analyze the extent to which workers and retirees choose to allocate their retirement assets to annuities and other arrangements that provide regular income over extended periods.,2018 - 2019,"$320,203"
Brookings Institution,To fund grantee's visiting fellowship in economic studies.,2016 - 2017,"$431,049"
Brookings Institution,To identify new policies that are intended to improve retirement security.,2018 - 2020,"$299,510"
Brookings Institution,To support Evidence Speaks.,2017 - 2018,"$200,000"
Brown University,To conduct a randomized controlled trial of a low-intensity home visiting program for pregnant women and families with young children.,2015 - 2018,"$43,526"
Brown University,To conduct research on how to improve government-sponsored supplemental nutrition programs.,2015 - 2018,"$847,633"
Brown University,To help establish the Rhode Island Innovative Policy Lab.,2015 - 2019,"$4,369,803"
Brown University,To determine whether exposure to lead during early childhood can lead to juvenile crime.,2016 - 2017,"$18,626"
Cal Poly Corporation,"To develop and pilot Digital Democracy, a publicly available technology platform that provides searchable transcripts of statehouse video feeds.",2014 - 2016,"$1,207,538"
Cal Poly Corporation,To scale and enhance the Digital Democracy platform.,2016 - 2019,"Up To                    $3,963,133"
California Foundation for Fiscal Responsibility,To perform a financial analysis of the state of California's public pension plans and proposed reforms.,2011 - 2012,"$150,000"
Californians Dedicated to Education Foundation,To support the California Department of Education in its efforts to expand and implement the Career Academies program in low-income high schools across the state.,2017 - 2020,"$1,165,000"
Camden Coalition of Healthcare Providers,"To help improve public safety and health care in Camden, New Jersey.",2014 - 2015,"$270,053"
Camden Coalition of Healthcare Providers,To support cross-sector data sharing and develop collaborative interventions for frequent utilizers.,2017 - 2019,"$585,033"
"Camden Enrollment, Inc.","To support a citywide school enrollment system in Camden, New Jersey.",2017 - 2018,"$1,005,014"
"Campaign Legal Center, Inc.",To support strategic litigation that will help establish a constitutional standard for adjudicating gerrymandering cases in the United States.,2016 - 2017,"$378,672"
"Campaign Legal Center, Inc.",To support strategic litigation that will help establish a constitutional standard for adjudicating gerrymandering cases in the United States.,2017 - 2018,"$316,200"
Campbell Collaboration,To conduct a systematic review of existing body worn camera research.,2018 - 2020,"$140,580"
"Catalyst for Payment Reform, Inc.",To design and pilot a scorecard that will assess alternative health care payment reform models.,2016 - 2019,"$438,276"
Center for American Progress,To support research and nonpartisan education regarding higher education student aid.,2018 - 2019,"$62,445"
Center for Health Policy Development,To support a working group of state health policy experts and stakeholders to examine emerging strategies for addressing the high cost of prescription drugs.,2016 - 2017,"$146,271"
Center for Health Policy Development,To support the launch of the Center for Prescription Drug Price Action.,2017 - 2019,"$2,021,350"
Center for Healthcare Transparency,"To improve the quality, transparency, and efficiency of the nation's health care system.",2014 - 2016,"$5,676,046"
"Center for Media and Democracy, Inc.",To evaluate the impact of the sugar and soda industry on U.S. nutrition policy.,2017 - 2018,"$100,000"
"Center for Open Data Enterprise, Inc.",To fund the development of a report on best practices for advancing open data policies and practices within the federal government.,2016 - 2017,"$185,000"
"Center for Open Science, Inc.",To support the creation of a new database of clinical trials.,2014 - 2017,"$545,360"
"Center for Open Science, Inc.",To improve transparency by providing consultation on best practices in data analysis and research design.,2014 - 2018,"$528,500"
"Center for Open Science, Inc.",To help develop better publication standards for the fields of ecology and evolution.,2015 - 2016,"$77,952"
"Center for Open Science, Inc.",To examine the reproducibility of transcranial direct current stimulation effects.,2015 - 2018,"$77,310"
"Center for Open Science, Inc.",To encourage preregistration of scientific studies by offering monetary awards to selected researchers who publish studies that have been preregistered on the Open Science Framework.,2015 - 2019,"$1,225,000"
"Center for Open Science, Inc.",To provide general operating support.,2016 - 2018,"$7,500,000"
"Center for Open Science, Inc.",To provide general operating support.,2018 - 2019,"Up To                    $5,250,000"
"Center for Open Science, Inc.",To fund the Berkeley Initiative for Transparency in the Social Sciences and promote the Open Science Framework.,2013 - 2016,"$204,729"
"Center for Open Science, Inc.",To increase the reliability of scientific research through replication experiments.,2013 - 2017,"$197,727"
"Center for Open Science, Inc.","To help foster open, reliable, and rigorous scientific research.",2013 - 2017,"$5,250,000"
"Center for Open Science, Inc.",To reproduce cancer cell biology studies.,2013 - 2018,"$1,922,114"
Center for Public Integrity,To support grantee's reporting on the flow of money and influence in state-level politics.,2014 - 2018,"$2,887,644"
Center for Regional Economic Competitiveness,To provide technical assistance to states interested in developing data-sharing agreements.,2015 - 2018,"$797,241"
"Center for State & Local Government Excellence, Inc.",To expand access to public sector retirement research.,2013 - 2016,"$997,979"
ChangeLab Solutions,To develop educational resources for key stakeholders interested in reducing sugar-sweetened beverage consumption.,2017 - 2019,"$131,250"
Chapin Hall Center for Children,To demonstrate a new approach for researchers working with state or local governments to access Census data for policy evaluation.,2016 - 2019,"$1,807,270"
"Charter Fund, Inc.","To support the expansion and replication of high-quality schools in New Orleans, Louisiana.",2012 - 2020,"Up To                    $13,586,000"
"Charter Fund, Inc.","To support the expansion and replication of high-quality schools in Camden, New Jersey.",2015 - 2016,"$2,000,000"
"Charter Fund, Inc.","To support the expansion and replication of high-quality schools in Memphis, Tennessee.",2015 - 2018,"$4,500,000"
"Charter Fund, Inc.","To support the expansion and replication of high-quality schools in Camden, New Jersey.",2015 - 2018,"$6,000,000"
"Charter Fund, Inc.","To subsidize the cost of tuition and stipends for first-year Relay Graduate School of Education residents in Camden, New Jersey.",2016 - 2018,"$1,149,000"
"Charter Fund, Inc.",To support continued investments in high-performing charter schools.,2016 - 2019,"$6,000,000"
"Charter Fund, Inc.**","To support the acquisition and improvement of school facilities located in Camden, New Jersey.",2018 - 2022,"$4,100,000"
Chiefs for Change,To support a working group of education leaders focused on fostering new and effective school governance models.,2017 - 2018,"$485,000"
Children's Home for Society of America,To conduct a randomized controlled trial of a child abuse prevention program.,2015 - 2020,"$95,708"
Children's Hospital Corporation,"To fund a randomized controlled trial analyzing how carbohydrates, fat, and added sugar affect body fat and metabolism.",2017 - 2021,"$13,015,934"
Children's Trust Fund of South Carolina,To help advance Pay for Success financing.,2015 - 2016,"$233,868"
"Choose to Succeed, Inc.","To promote high-quality school options in San Antonio, Texas.",2013,"$12,500"
Citizens Climate Education Corp.,To provide general operating support.,2017 - 2019,"$1,000,000"
City and County of San Francisco,"To develop a nonpartisan, replicable model of local government-driven fines and fees reform.",2018 - 2020,"$415,597"
"City First Enterprises, Inc.",To help advance Pay for Success financing.,2014 - 2015,"$48,030"
City of Berkeley,"To support efforts to implement the recently enacted sugar-sweetened beverage tax in Berkeley, CA.",2015,"$90,152"
City of Houston,To support the Bright Ideas Fund.,2015 - 2016,"$9,650"
City of Long Beach,"To support implementation of the Data-Driven Justice project in Long Beach, California.",2017 - 2020,"$557,124"
City of Long Beach,To conduct a randomized controlled trial of Forensic Assertive Community Treatment and wraparound services.,2018 - 2021,"Up To                    $491,211"
City of Philadelphia,"To defray the costs associated with defending the Philadelphia Beverage Tax in Williams, et al. v. City of Philadelphia, et al.",2016 - 2017,"$500,000"
"Civica, Inc.",To promote availability and affordability of essential generic drugs.,2018 - 2023,"$1,000,000"
"Civica, Inc.**",To promote availability and affordability of essential generic drugs.,2018 - 2030,"$9,000,000"
"Clean Air Task Force, Inc.",To identify cost-effective solutions to meet the rising energy demand while minimizing adverse climate effects.,2015 - 2017,"$659,500"
"Clean Air Task Force, Inc.",To provide recommendations on energy policies to advance the development and lower the cost of new emission-free energy sources.,2017 - 2019,"$1,449,292"
Cleveland Municipal School District,"To inform families about school quality and options in Cleveland, Ohio.",2014 - 2016,"$1,375,000"
Cleveland Municipal School District,"To promote the creation of a common enrollment system in Cleveland, Ohio.",2014 - 2016,"$1,500,000"
"Climate Leadership Council, Inc.","To develop a coalition of strategic partners that will educate the public, key stakeholders, and policymakers about the carbon dividends framework.",2017 - 2019,"Up To                    $1,500,000"
Coalition for Evidence-Based Policy,To demonstrate the feasibility of low-cost randomized controlled trials.,2013 - 2018,"$369,228"
"Code for America Labs, Inc.","To enhance the pretrial criminal justice system in New York, New York.",2013 - 2014,"$90,000"
"Code for America Labs, Inc.","To enhance the pretrial criminal justice system in Louisville, Kentucky.",2013 - 2014,"$300,000"
"Code for America Labs, Inc.","To develop, implement, and evaluate digital tools and services that can help to reduce jail populations and improve policing practices.",2016 - 2018,"$2,400,000"
"Code for America Labs, Inc.","To fund two fellows to support implementation of the Data-Driven Justice project in Middlesex County, Massachusetts.",2017 - 2020,"$562,962"
College Forward,To fund a low-cost randomized controlled trial on the grantee's college access and completion programs.,2015 - 2024,"$98,337"
Colorado Nonprofit Development Center,To educate the public about how to provide a secure retirement for Colorado's public employees.,2016 - 2017,"$100,000"
Colorado Nonprofit Development Center,To support the Secure Futures Colorado project.,2017,"$100,000"
Colorado Nonprofit Development Center,To provide general operating support.,2018 - 2019,"$125,000"
Colorado Seminary,To fun a randomized controlled trial of an intervention that deploys rapid responders to provide runaway youth and their caregivers with social services.,2018 - 2023,"$387,093"
Colorado Succeeds,To conduct research about public pension systems in the state of Colorado.,2013 - 2015,"$75,000"
Committee for a Responsible Federal Budget,To support efforts to improve the Social Security Disability Insurance program.,2015 - 2016,"$400,000"
Community Foundation of New Jersey,To support a common enrollment system for the Camden City School District in New Jersey.,2015 - 2018,"$150,000"
"Conference Board, Inc.",To develop a study design for a randomized controlled trial that will test if competency-based hiring is an effective predictor of job performance.,2016 - 2017,"$99,740"
Conquer Cancer Foundation of the American Society of Clinical Oncology,To convene oncology journal publishers and other stakeholders to establish clinical trial data sharing standards and policies that facilitate the responsible and timely sharing of clinical trial data in oncology research.,2018 - 2019,"Up To                    $37,500"
"Core Correctional Solutions, LLC",To assess the Public Safety AssessmentTM pretrial risk assessment tool.,2018 - 2020,"$221,386"
Cornell University,To support research on pension costs for public school employees in the state of New York.,2017 - 2019,"$136,900"
Corporation for Supportive Housing,To develop a secure digital platform for individuals who are both homeless and frequently involved with the criminal justice system in order to aid this population.,2016 - 2019,"$485,000"
Council of the District of Columbia,To fund a fellowship focused on developing and promoting open government technology projects.,2014 - 2016,"$30,000"
County of Allegheny,To place a fellow within the U.S. Department of Education who will help jurisdictions use privacy-protected data to measure programs' performance.,2015 - 2017,"$155,296"
County of Travis Justice & Public Safety Division - Criminal Justice Planning,"To support a permanent supportive housing project conducted by Travis County, Texas.",2013 - 2015,"$69,012"
"CUNY Graduate School of Journalism Foundation, Inc.",To support the Ravitch Fiscal Reporting Program.,2015 - 2018,"$531,093"
Curators of the University of Missouri,To conduct research on the relationship between pension systems and financial equities in state education.,2018 - 2020,"$156,930"
Dane County Criminal Justice Council,To support implementation of the Public Safety Assessment.,2016 - 2017,"$166,566"
Dane County Criminal Justice Council,To support data collection efforts for an ongoing randomized controlled trial of the Public Safety Assessment.,2017,"$197,043"
"Data Quality Campaign, Inc.",To develop and distribute materials that capture the current growth of data systems in education and share lessons for other sectors.,2016 - 2017,"$60,000"
"Data Quality Campaign, Inc.","To educate local, state, and federal leaders about the value of education-research partnerships and evidence-based student data collection.",2017 - 2018,"$125,000"
"DataKind, Inc.",To provide general operating support.,2014 - 2016,"$200,000"
"DataKind, Inc.",To research ways to reduce recidivism among frequent offenders.,2014 - 2015,"$42,644"
Davidson College,To support the creation of online curricula and teaching tools for Advanced Placement courses.,2013,"$48,942"
Davidson College,To support the creation of online curricula and teaching tools for Advanced Placement courses.,2014 - 2017,"$1,863,512"
"Denver PFS, LLC**",To provide permanent supportive housing services to approximately 250 chronically homeless individuals.,2016 - 2021,"Up To                    $1,700,000"
Dream Corps,To educate the public about the use of monetary sanctions as a form of punishment in the criminal justice system.,2016,"$99,498"
Drexel University,To support a randomized controlled trial to evaluate the impact of offering federal Pell Grants to incarcerated adults interested in pursuing postsecondary education.,2018 - 2023,"$927,774"
Drug Policy Alliance,To support foundational work needed to conduct the first randomized controlled trial of heroin-assisted treatment for people with opioid use disorders in the United States.,2017,"$64,100"
Drug Policy Alliance,To support Grantee's efforts to advance injectable opioid treatment research in the United States.,2018 - 2020,"$44,264"
Drug Policy Alliance,To provide general operating support.,2017 - 2018,"$50,000"
Duke University,"To support the Center for Health Policy in its efforts to create an evaluation hub that will study the impact of reforms related to health care payment, benefit, and delivery systems.",2016 - 2018,"$925,165"
Duke University,"To conduct an initial study of how medication-assisted treatment impacts recidivism and other outcomes in Wake County, North Carolina.",2016 - 2019,"$339,516"
Duke University,To analyze access to and quality of medication-assisted treatment for persons with opioid use disorder in North Carolina.,2018 - 2019,"$249,930"
Duke University,To assess the predictive validity of the Public Safety Assessment and produce open-source software.,2017 - 2019,"$87,507"
Duke University,To analyze the Public Safety Assessment.,2017 - 2020,"$300,000"
Economic Mobility Corporation,To support long-term follow-up of the randomized controlled trial of Project QUEST.,2017 - 2020,"$261,848"
Economic Mobility Corporation,"To fund a low-cost randomized controlled trial of English for Advancement, a workforce intervention for adult English language learners.",2017 - 2022,"$150,000"
Economic Mobility Corporation,"To support Grantee's efforts to conduct a randomized controlled trial evaluation of Per Scholas, Inc.'s information technology training program.",2018 - 2019,"$93,637"
"EdBuild, Inc.","To collaborate with the Urban Institute to support policy research, education, and dissemination efforts related to school funding policy.",2016 - 2019,"$845,689"
"Education Champions for All, Inc.",To support the development of strategic education tools.,2011 - 2012,"$300,000"
"Education Cities, Inc.",To provide general operating and programmatic support.,2016 - 2018,"$1,275,000"
Education Forward DC,"To promote high-quality school options in Washington, D.C.",2016 - 2017,"$1,000,000"
Education Forward DC,To support the launch of high-quality autonomous schools in the District of Columbia.,2017 - 2018,"$4,500,000"
"Education Pioneers, Inc.","To identify, develop, and retain dynamic education leaders in and around Houston, Texas.",2011 - 2012,"$200,000"
"Education Reform Now, Inc.",To provide general operating support.,2011 - 2012,"$500,000"
"Education Reform Now, Inc.","To promote high-quality school options in Massachusetts, Illinois, and Washington.",2012 - 2013,"$500,000"
"Education Reform Now, Inc.",To provide general operating support.,2013 - 2014,"$1,700,160"
Education Service Center Region XIII,"To support the Texas Education Agency's System of Great Schools Network, a program for districts interested in the portfolio model of school governance.",2017 - 2018,"$84,225"
"Education Trust, Inc.",To study how to reduce gaps in educational achievement and opportunities.,2012 - 2014,"$2,000,000"
"Education Trust, Inc.",To provide general operating support.,2015 - 2017,"$2,000,000"
Educational Choice Illinois,"To promote high-quality school options in Chicago, Illinois.",2013,"$25,000"
Educational Results Partnership,To fund a randomized controlled trial to evaluate a placement method that uses students' high school achievement to assess college readiness.,2016 - 2020,"$147,009"
"Educators for Excellence, Inc.",To provide general operating support.,2012 - 2013,"$500,000"
"edX, Inc.",To support the development of the edX online platform and increase the number of high-quality courses available to users.,2014 - 2015,"$5,000,000"
"edX, Inc.",To help expand access to college by allowing students to take massive open online courses for credit.,2015 - 2018,"$12,000,000"
Energy Innovation Reform Project,To identify cost-effective solutions to meet the rising energy demand while minimizing adverse climate effects.,2015 - 2017,"$340,500"
Energy Innovation Reform Project,To provide general operating support.,2017 - 2019,"$1,000,000"
"Enterprise Community Partners, Inc.",To support the National Resource Network consortium.,2017 - 2019,"Up To                    $4,000,000"
"Every Student Every Community, Inc.","To provide general operating support and to promote the expansion of high-quality school options in Atlanta, Georgia.",2018,"$1,000,000"
Evidence for Healthcare Improvement,"To produce Institute for Clinical and Economic Review reports on new drugs that include information about a drug's comparative effectiveness, cost effectiveness, and potential budget impact.",2015 - 2017,"$5,232,002"
Evidence for Healthcare Improvement,To support the Institute for Clinical and Economic Review research that provides independent analyses of the comparative cost effectiveness for newly-introduced pharmaceutical drugs.,2017 - 2020,"$13,966,892"
FairVote,To create a 50-state assessment of structural democracy reforms and obstacles associated with ranked choice voting.,2015,"$92,500"
FairVote,To provide general operating support.,2015 - 2016,"$200,000"
FairVote,To educate residents of the state of Maine about ranked choice voting.,2015 - 2016,"$315,000"
FairVote,To conduct research and educate the public about ranked choice voting.,2016 - 2017,"$1,806,873"
FairVote,To support grantee in its efforts to be a nonpartisan educational resource and technical support provider on ranked choice voting.,2017 - 2019,"$2,000,000"
FairVote Minnesota Foundation,To educate residents of the state of Maine about ranked choice voting.,2015 - 2016,"$137,180"
Family Service Agency of Santa Barbara,"To conduct a pilot study of Adult Holistic Defense Case Management, a program to reduce recidivism.",2016 - 2019,"$498,524"
Federalist Society for Law & Public Policy Studies,To analyze information about public sector pension reform.,2013 - 2014,"$102,464"
Feeding America,To develop a plan to deliver enhanced services to clients.,2012 - 2014,"$229,146"
